CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segmento
12395,19,15,5067.27,5,5,5,555,15,Campeones
12396,674,1,931.4300000000001,1,1,3,113,5,Necesitan atención
12397,36,2,2409.9,4,2,4,424,10,Potenciales leales
12398,46,1,1635.66,4,1,4,414,9,Potenciales leales
12399,119,7,1962.3,3,4,4,344,11,Leales
12400,414,1,205.25,1,1,1,111,3,Necesitan atención
12401,303,1,84.3,2,1,1,211,4,Necesitan atención
12402,323,6,1256.9,2,4,4,244,10,En riesgo
12403,50,2,1019.36,4,2,3,423,9,Potenciales leales
12404,682,1,63.24,1,1,1,111,3,Necesitan atención
12405,149,1,1710.39,3,1,4,314,8,Otros
12406,22,5,6390.36,4,4,5,445,13,Campeones
12407,50,5,1708.12,4,4,4,444,12,Campeones
12408,33,8,4340.77,4,4,5,445,13,Campeones
12409,79,7,23419.29,3,4,5,345,12,Leales
12410,309,3,1013.71,2,3,3,233,8,En riesgo
12411,410,1,346.9,2,1,2,212,5,Necesitan atención
12412,75,6,2596.93,3,4,4,344,11,Leales
12413,67,4,999.45,3,3,3,333,9,Necesitan atención
12414,217,6,952.41,2,4,3,243,9,En riesgo
12415,24,27,138694.93,4,5,5,455,14,Campeones
12416,657,1,202.56,1,1,1,111,3,Necesitan atención
12417,3,20,6816.91,5,5,5,555,15,Campeones
12418,113,4,2021.2,3,3,4,334,10,Otros
12419,386,2,503.01,2,2,2,222,6,Necesitan atención
12420,64,1,600.39,3,1,2,312,6,Necesitan atención
12421,16,6,1098.6,5,4,3,543,12,Leales
12422,96,15,4173.35,3,5,5,355,13,Leales
12423,1,10,2622.39,5,5,4,554,14,Campeones
12424,163,4,3340.0299999999997,3,3,5,335,11,Otros
12425,78,2,1741.41,3,2,4,324,9,Otros
12426,195,2,1345.21,2,2,4,224,8,Otros
12427,22,3,1129.3,4,3,3,433,10,Otros
12428,26,8,7405.26,4,4,5,445,13,Campeones
12429,9,8,7485.91,5,4,5,545,14,Campeones
12430,43,1,256.4,4,1,1,411,6,Potenciales leales
12431,36,27,10857.970000000001,4,5,5,455,14,Campeones
12432,43,4,4359.32,4,3,5,435,12,Otros
12433,1,10,20581.26,5,5,5,555,15,Campeones
12434,85,3,1103.43,3,3,3,333,9,Necesitan atención
12435,80,6,13925.93,3,4,5,345,12,Leales
12436,100,1,509.01,3,1,2,312,6,Necesitan atención
12437,2,39,12683.4,5,5,5,555,15,Campeones
12438,14,2,2906.85,5,2,5,525,12,Potenciales leales
12439,683,2,1158.18,1,2,3,123,6,Necesitan atención
12440,462,2,859.2,1,2,3,123,6,Necesitan atención
12441,367,1,347.1,2,1,2,212,5,Necesitan atención
12442,3,1,172.06,5,1,1,511,7,Potenciales leales
12443,732,1,485.31,1,1,2,112,4,Necesitan atención
12444,21,5,5005.46,4,4,5,445,13,Campeones
12445,22,2,434.98,4,2,2,422,8,Potenciales leales
12446,58,1,1002.3100000000001,4,1,3,413,8,Potenciales leales
12447,243,1,476.49,2,1,2,212,5,Necesitan atención
12448,44,1,449.45,4,1,2,412,7,Potenciales leales
12449,22,6,4835.89,4,4,5,445,13,Campeones
12450,156,5,688.2,3,4,3,343,10,Leales
12451,11,8,12669.88,5,4,5,545,14,Campeones
12452,17,2,430.57000000000005,5,2,2,522,9,Potenciales leales
12453,134,1,707.09,3,1,3,313,7,Necesitan atención
12454,56,4,11897.86,4,3,5,435,12,Otros
12455,73,10,5879.95,3,5,5,355,13,Leales
12456,44,3,3181.04,4,3,5,435,12,Otros
12457,66,8,2995.91,3,4,5,345,12,Leales
12458,71,4,1777.49,3,3,4,334,10,Otros
12459,605,1,454.36,1,1,2,112,4,Necesitan atención
12460,456,1,326.65,1,1,2,112,4,Necesitan atención
12461,94,2,826.88,3,2,3,323,8,Necesitan atención
12462,19,2,1189.59,5,2,3,523,10,Potenciales leales
12463,53,4,1344.78,4,3,4,434,11,Otros
12464,10,8,1212.05,5,4,3,543,12,Leales
12465,17,2,742.19,5,2,3,523,10,Potenciales leales
12466,682,1,56.73,1,1,1,111,3,Necesitan atención
12467,423,1,132.8,1,1,1,111,3,Necesitan atención
12468,188,5,3670.7400000000002,3,4,5,345,12,Leales
12469,523,2,3070.54,1,2,5,125,8,Otros
12470,690,1,211.95,1,1,1,111,3,Necesitan atención
12471,2,78,39483.79,5,5,5,555,15,Campeones
12472,32,19,17880.59,4,5,5,455,14,Campeones
12473,29,5,2965.15,4,4,5,445,13,Campeones
12474,17,31,12424.45,5,5,5,555,15,Campeones
12475,54,2,1149.64,4,2,3,423,9,Potenciales leales
12476,16,23,14115.41,5,5,5,555,15,Campeones
12477,23,9,20276.37,4,5,5,455,14,Campeones
12478,4,1,680.99,5,1,3,513,9,Potenciales leales
12479,11,1,527.2,5,1,2,512,8,Potenciales leales
12480,28,7,5464.85,4,4,5,445,13,Campeones
12481,23,14,12055.39,4,5,5,455,14,Campeones
12482,576,27,21423.32,1,5,5,155,11,En riesgo
12483,17,19,5120.58,5,5,5,555,15,Campeones
12484,33,12,6370.15,4,5,5,455,14,Campeones
12485,529,1,708.1,1,1,3,113,5,Necesitan atención
12486,432,1,1037.28,1,1,3,113,5,Necesitan atención
12487,731,1,285.3,1,1,1,111,3,Necesitan atención
12488,10,3,1298.66,5,3,4,534,12,Otros
12489,336,1,334.93,2,1,2,212,5,Necesitan atención
12490,5,21,9823.64,5,5,5,555,15,Campeones
12491,39,1,460.40000000000003,4,1,2,412,7,Potenciales leales
12492,63,3,715.21,3,3,3,333,9,Necesitan atención
12493,166,2,433.74,3,2,2,322,7,Necesitan atención
12494,16,9,1872.8700000000001,5,5,4,554,14,Campeones
12495,641,1,357.4,1,1,2,112,4,Necesitan atención
12496,620,2,54.09,1,2,1,121,4,Necesitan atención
12497,82,3,6248.5,3,3,5,335,11,Otros
12498,21,3,403.70000000000005,4,3,2,432,9,Otros
12499,560,1,393.72,1,1,2,112,4,Necesitan atención
12500,23,19,5955.21,4,5,5,455,14,Campeones
12501,337,1,2169.39,2,1,4,214,7,Otros
12502,96,5,3723.87,3,4,5,345,12,Leales
12504,18,4,779.05,5,3,3,533,11,Otros
12505,409,1,955.2,2,1,3,213,6,Necesitan atención
12506,233,1,73.5,2,1,1,211,4,Necesitan atención
12507,134,4,1844.06,3,3,4,334,10,Otros
12508,26,2,398.27,4,2,2,422,8,Potenciales leales
12509,284,1,176.5,2,1,1,211,4,Necesitan atención
12510,143,7,3767.03,3,4,5,345,12,Leales
12511,429,1,3084.02,1,1,5,115,7,Otros
12512,66,2,138.03,3,2,1,321,6,Necesitan atención
12513,113,1,612.29,3,1,3,313,7,Necesitan atención
12514,267,2,1597.76,2,2,4,224,8,Otros
12515,353,1,383.7,2,1,2,212,5,Necesitan atención
12516,78,4,2648.62,3,3,4,334,10,Otros
12517,28,5,2502.84,4,4,4,444,12,Campeones
12518,1,5,2056.89,5,4,4,544,13,Campeones
12519,64,2,726.54,3,2,3,323,8,Necesitan atención
12520,79,5,2634.26,3,4,4,344,11,Leales
12521,143,1,599.6800000000001,3,1,2,312,6,Necesitan atención
12522,39,2,192.72,4,2,1,421,7,Potenciales leales
12523,19,23,4372.15,5,5,5,555,15,Campeones
12524,9,17,11126.11,5,5,5,555,15,Campeones
12525,498,3,973.73,1,3,3,133,7,En riesgo
12526,1,3,1316.66,5,3,4,534,12,Otros
12527,82,5,735.51,3,4,3,343,10,Leales
12528,9,6,1933.48,5,4,4,544,13,Campeones
12529,528,1,316.48,1,1,2,112,4,Necesitan atención
12530,60,9,3759.26,3,5,5,355,13,Leales
12531,15,2,1933.2,5,2,4,524,11,Potenciales leales
12532,30,1,349.83000000000004,4,1,2,412,7,Potenciales leales
12533,628,2,1367.89,1,2,4,124,7,Otros
12534,131,1,1089.18,3,1,3,313,7,Necesitan atención
12535,92,2,716.35,3,2,3,323,8,Necesitan atención
12536,59,1,4279.71,4,1,5,415,10,Potenciales leales
12537,409,1,732.94,2,1,3,213,6,Necesitan atención
12538,29,2,640.45,4,2,3,423,9,Potenciales leales
12539,22,7,11214.75,4,4,5,445,13,Campeones
12540,20,33,22254.49,4,5,5,455,14,Campeones
12541,30,3,981.18,4,3,3,433,10,Otros
12542,484,2,481.88,1,2,2,122,5,Necesitan atención
12543,448,1,980.25,1,1,3,113,5,Necesitan atención
12544,36,1,372.7,4,1,2,412,7,Potenciales leales
12545,75,2,1000.39,3,2,3,323,8,Necesitan atención
12546,47,2,1161.5,4,2,3,423,9,Potenciales leales
12547,198,3,383.58,2,3,2,232,7,Necesitan atención
12548,166,1,95.19999999999999,3,1,1,311,5,Necesitan atención
12549,576,6,1575.68,1,4,4,144,9,En riesgo
12550,79,1,964.8299999999999,3,1,3,313,7,Necesitan atención
12551,358,1,168.0,2,1,1,211,4,Necesitan atención
12552,39,2,437.82,4,2,2,422,8,Potenciales leales
12553,8,12,4608.75,5,5,5,555,15,Campeones
12554,449,1,468.5,1,1,2,112,4,Necesitan atención
12555,682,1,129.23,1,1,1,111,3,Necesitan atención
12556,50,2,603.71,4,2,2,422,8,Potenciales leales
12557,16,8,18716.14,5,4,5,545,14,Campeones
12558,8,1,269.96,5,1,1,511,7,Potenciales leales
12559,311,2,561.71,2,2,2,222,6,Necesitan atención
12560,5,3,2134.01,5,3,4,534,12,Otros
12561,303,1,238.85,2,1,1,211,4,Necesitan atención
12562,8,9,4966.92,5,5,5,555,15,Campeones
12563,409,1,249.24,2,1,1,211,4,Necesitan atención
12564,261,1,456.9,2,1,2,212,5,Necesitan atención
12565,289,1,145.92000000000002,2,1,1,211,4,Necesitan atención
12566,86,1,351.65,3,1,2,312,6,Necesitan atención
12567,23,15,13709.86,4,5,5,455,14,Campeones
12568,645,1,70.0,1,1,1,111,3,Necesitan atención
12569,2,32,4124.6900000000005,5,5,5,555,15,Campeones
12570,682,1,77.52,1,1,1,111,3,Necesitan atención
12571,40,2,519.61,4,2,2,422,8,Potenciales leales
12572,9,2,1020.4200000000001,5,2,3,523,10,Potenciales leales
12573,227,5,717.41,2,4,3,243,9,En riesgo
12574,316,1,218.45000000000002,2,1,1,211,4,Necesitan atención
12575,457,2,622.82,1,2,3,123,6,Necesitan atención
12576,36,8,2142.7200000000003,4,4,4,444,12,Campeones
12577,35,8,1653.75,4,4,4,444,12,Campeones
12578,21,4,4642.45,4,3,5,435,12,Otros
12579,78,1,440.42,3,1,2,312,6,Necesitan atención
12580,247,2,1052.9,2,2,3,223,7,Necesitan atención
12581,40,1,197.71,4,1,1,411,6,Potenciales leales
12582,239,4,1980.4,2,3,4,234,9,En riesgo
12583,3,27,14447.44,5,5,5,555,15,Campeones
12584,4,9,2338.15,5,5,4,554,14,Campeones
12585,234,2,2040.1,2,2,4,224,8,Otros
12586,17,4,2062.67,5,3,4,534,12,Otros
12587,8,1,144.0,5,1,1,511,7,Potenciales leales
12588,39,4,958.78,4,3,3,433,10,Otros
12589,29,7,3639.91,4,4,5,445,13,Campeones
12590,211,1,8951.26,2,1,5,215,8,Otros
12591,317,3,1352.15,2,3,4,234,9,En riesgo
12592,92,4,1867.64,3,3,4,334,10,Otros
12593,109,3,418.1,3,3,2,332,8,Necesitan atención
12594,38,15,5090.110000000001,4,5,5,455,14,Campeones
12595,505,1,299.02,1,1,2,112,4,Necesitan atención
12596,51,2,618.27,4,2,3,423,9,Potenciales leales
12597,19,4,3811.22,5,3,5,535,13,Otros
12598,10,11,4534.09,5,5,5,555,15,Campeones
12599,29,13,2296.72,4,5,4,454,13,Campeones
12600,29,21,5043.92,4,5,5,455,14,Campeones
12601,190,6,681.26,2,4,3,243,9,En riesgo
12602,59,1,153.12,4,1,1,411,6,Potenciales leales
12603,22,1,739.1999999999999,4,1,3,413,8,Potenciales leales
12604,79,2,254.18,3,2,1,321,6,Necesitan atención
12605,376,4,1232.95,2,3,4,234,9,En riesgo
12606,682,1,21.0,1,1,1,111,3,Necesitan atención
12607,60,1,1579.51,3,1,4,314,8,Otros
12608,405,1,415.79,2,1,2,212,5,Necesitan atención
12609,78,9,3435.86,3,5,5,355,13,Leales
12610,23,5,2099.54,4,4,4,444,12,Campeones
12611,52,1,1193.32,4,1,3,413,8,Potenciales leales
12612,74,1,704.04,3,1,3,313,7,Necesitan atención
12613,57,10,6835.07,4,5,5,455,14,Campeones
12614,278,1,315.6,2,1,2,212,5,Necesitan atención
12615,2,8,5740.9800000000005,5,4,5,545,14,Campeones
12616,95,3,1131.1,3,3,3,333,9,Necesitan atención
12617,29,1,355.53000000000003,4,1,2,412,7,Potenciales leales
12618,22,1,177.31,4,1,1,411,6,Potenciales leales
12619,16,9,3391.7,5,5,5,555,15,Campeones
12620,15,3,1339.41,5,3,4,534,12,Otros
12621,2,35,24385.81,5,5,5,555,15,Campeones
12622,232,1,180.1,2,1,1,211,4,Necesitan atención
12623,276,7,3747.84,2,4,5,245,11,En riesgo
12624,106,2,641.13,3,2,3,323,8,Necesitan atención
12625,212,4,5164.88,2,3,5,235,10,En riesgo
12626,23,9,6620.4800000000005,4,5,5,455,14,Campeones
12627,11,7,4478.53,5,4,5,545,14,Campeones
12628,4,3,786.46,5,3,3,533,11,Otros
12629,386,2,1558.22,2,2,4,224,8,Otros
12630,10,2,1270.88,5,2,4,524,11,Potenciales leales
12631,57,6,3481.57,4,4,5,445,13,Campeones
12632,521,2,804.88,1,2,3,123,6,Necesitan atención
12633,59,7,5678.16,4,4,5,445,13,Campeones
12634,536,2,490.0,1,2,2,122,5,Necesitan atención
12635,90,4,2930.41,3,3,5,335,11,Otros
12636,739,1,141.0,1,1,1,111,3,Necesitan atención
12637,67,12,8340.31,3,5,5,355,13,Leales
12638,33,2,921.49,4,2,3,423,9,Potenciales leales
12639,239,3,1312.3700000000001,2,3,4,234,9,En riesgo
12640,24,3,1174.58,4,3,3,433,10,Otros
12641,115,1,185.9,3,1,1,311,5,Necesitan atención
12642,25,3,1013.26,4,3,3,433,10,Otros
12643,128,12,7350.22,3,5,5,355,13,Leales
12644,130,4,1918.49,3,3,4,334,10,Otros
12645,34,8,3539.3,4,4,5,445,13,Campeones
12646,5,2,1346.97,5,2,4,524,11,Potenciales leales
12647,22,35,17634.35,4,5,5,455,14,Campeones
12648,155,4,1112.0,3,3,3,333,9,Necesitan atención
12649,107,8,2294.65,3,4,4,344,11,Leales
12650,3,1,314.44,5,1,2,512,8,Potenciales leales
12651,335,4,377.75,2,3,2,232,7,Necesitan atención
12652,331,2,1017.03,2,2,3,223,7,Necesitan atención
12653,149,3,4160.83,3,3,5,335,11,Otros
12654,11,5,601.98,5,4,2,542,11,Leales
12655,424,1,261.35,1,1,1,111,3,Necesitan atención
12656,17,8,6407.83,5,4,5,545,14,Campeones
12657,11,4,1643.18,5,3,4,534,12,Otros
12658,19,1,686.05,5,1,3,513,9,Potenciales leales
12659,30,1,91.68,4,1,1,411,6,Potenciales leales
12660,11,1,245.10000000000002,5,1,1,511,7,Potenciales leales
12661,436,1,162.0,1,1,1,111,3,Necesitan atención
12662,1,20,6988.02,5,5,5,555,15,Campeones
12663,625,2,239.4,1,2,1,121,4,Necesitan atención
12664,8,11,6070.04,5,5,5,555,15,Campeones
12665,325,3,313.6,2,3,2,232,7,Necesitan atención
12666,394,1,1248.42,2,1,4,214,7,Otros
12667,58,1,620.13,4,1,3,413,8,Potenciales leales
12668,12,10,11444.68,5,5,5,555,15,Campeones
12669,151,2,1607.73,3,2,4,324,9,Otros
12670,10,7,3760.29,5,4,5,545,14,Campeones
12671,606,1,2622.481,1,1,4,114,6,Otros
12672,330,2,437.05,2,2,2,222,6,Necesitan atención
12673,5,3,1230.02,5,3,4,534,12,Otros
12674,39,4,1970.6,4,3,4,434,11,Otros
12675,554,2,958.5,1,2,3,123,6,Necesitan atención
12676,25,11,2843.09,4,5,4,454,13,Campeones
12677,555,2,395.1,1,2,2,122,5,Necesitan atención
12678,42,20,32468.7,4,5,5,455,14,Campeones
12679,59,4,1113.02,4,3,3,433,10,Otros
12680,1,4,880.81,5,3,3,533,11,Otros
12681,15,45,30868.28,5,5,5,555,15,Campeones
12682,4,52,24033.91,5,5,5,555,15,Campeones
12683,4,21,12696.78,5,5,5,555,15,Campeones
12684,8,7,2283.63,5,4,4,544,13,Campeones
12685,28,6,2863.08,4,4,4,444,12,Campeones
12686,372,1,178.28,2,1,1,211,4,Necesitan atención
12687,481,1,1858.91,1,1,4,114,6,Otros
12688,114,1,4873.81,3,1,5,315,9,Otros
12689,26,2,1247.6100000000001,4,2,4,424,10,Potenciales leales
12690,206,1,389.01,2,1,2,212,5,Necesitan atención
12691,28,7,1170.4,4,4,3,443,11,Leales
12692,637,1,110.95,1,1,1,111,3,Necesitan atención
12693,127,7,1703.02,3,4,4,344,11,Leales
12694,70,3,1843.35,3,3,4,334,10,Otros
12695,7,7,1407.1200000000001,5,4,4,544,13,Campeones
12696,435,2,851.91,1,2,3,123,6,Necesitan atención
12697,29,3,957.59,4,3,3,433,10,Otros
12698,590,1,339.75,1,1,2,112,4,Necesitan atención
12699,418,1,638.11,1,1,3,113,5,Necesitan atención
12700,8,4,4939.99,5,3,5,535,13,Otros
12701,80,6,2446.41,3,4,4,344,11,Leales
12702,20,1,219.0,4,1,1,411,6,Potenciales leales
12703,71,4,1006.53,3,3,3,333,9,Necesitan atención
12704,7,8,2340.84,5,4,4,544,13,Campeones
12705,15,14,11762.1,5,5,5,555,15,Campeones
12707,292,1,603.42,2,1,2,212,5,Necesitan atención
12708,30,18,5314.1,4,5,5,455,14,Campeones
12709,15,33,30877.34,5,5,5,555,15,Campeones
12710,97,3,1149.02,3,3,3,333,9,Necesitan atención
12711,612,2,1339.05,1,2,4,124,7,Otros
12712,29,21,7193.66,4,5,5,455,14,Campeones
12713,1,1,848.55,5,1,3,513,9,Potenciales leales
12714,9,12,14093.710000000001,5,5,5,555,15,Campeones
12715,106,1,353.86,3,1,2,312,6,Necesitan atención
12716,4,2,1053.49,5,2,3,523,10,Potenciales leales
12717,151,3,1308.91,3,3,4,334,10,Otros
12718,71,1,238.25,3,1,1,311,5,Necesitan atención
12719,5,2,644.95,5,2,3,523,10,Potenciales leales
12720,3,30,8260.67,5,5,5,555,15,Campeones
12721,32,8,4013.08,4,4,5,445,13,Campeones
12722,85,4,997.63,3,3,3,333,9,Necesitan atención
12723,4,5,725.07,5,4,3,543,12,Leales
12724,5,7,2317.52,5,4,4,544,13,Campeones
12725,371,3,2474.56,2,3,4,234,9,En riesgo
12726,28,11,4014.6,4,5,5,455,14,Campeones
12727,11,10,5679.53,5,5,5,555,15,Campeones
12728,71,5,1070.17,3,4,3,343,10,Leales
12729,114,1,453.01,3,1,2,312,6,Necesitan atención
12730,522,1,829.25,1,1,3,113,5,Necesitan atención
12731,24,17,25775.71,4,5,5,455,14,Campeones
12732,180,1,236.26,3,1,1,311,5,Necesitan atención
12733,234,4,2424.87,2,3,4,234,9,En riesgo
12734,353,3,639.65,2,3,3,233,8,En riesgo
12735,315,2,779.5699999999999,2,2,3,223,7,Necesitan atención
12736,333,1,234.0,2,1,1,211,4,Necesitan atención
12737,499,1,100.0,1,1,1,111,3,Necesitan atención
12738,372,1,310.7,2,1,2,212,5,Necesitan atención
12739,78,4,2473.73,3,3,4,334,10,Otros
12740,64,1,427.6,3,1,2,312,6,Necesitan atención
12741,533,1,236.07,1,1,1,111,3,Necesitan atención
12742,626,1,1201.52,1,1,3,113,5,Necesitan atención
12743,134,2,546.43,3,2,2,322,7,Necesitan atención
12744,56,9,13320.76,4,5,5,455,14,Campeones
12745,487,2,723.85,1,2,3,123,6,Necesitan atención
12746,541,1,254.55,1,1,1,111,3,Necesitan atención
12747,2,26,9276.54,5,5,5,555,15,Campeones
12748,1,330,52911.27,5,5,5,555,15,Campeones
12749,4,9,6897.36,5,5,5,555,15,Campeones
12750,129,1,275.88,3,1,1,311,5,Necesitan atención
12751,445,1,268.27,1,1,1,111,3,Necesitan atención
12752,81,1,4366.78,3,1,5,315,9,Otros
12753,23,6,21429.39,4,4,5,445,13,Campeones
12754,236,3,1536.1799999999998,2,3,4,234,9,En riesgo
12755,281,10,1441.86,2,5,4,254,11,En riesgo
12756,87,1,112.08,3,1,1,311,5,Necesitan atención
12757,16,9,4257.7,5,5,5,555,15,Campeones
12758,117,7,9903.24,3,4,5,345,12,Leales
12759,52,8,5020.74,4,4,5,445,13,Campeones
12760,456,1,347.8,1,1,2,112,4,Necesitan atención
12761,458,2,782.95,1,2,3,123,6,Necesitan atención
12762,8,2,1898.52,5,2,4,524,11,Potenciales leales
12763,138,2,814.16,3,2,3,323,8,Necesitan atención
12764,317,1,1693.88,2,1,4,214,7,Otros
12765,472,6,1404.58,1,4,4,144,9,En riesgo
12766,4,9,10068.28,5,5,5,555,15,Campeones
12767,376,1,949.82,2,1,3,213,6,Necesitan atención
12768,451,1,168.69,1,1,1,111,3,Necesitan atención
12769,239,1,1143.6,2,1,3,213,6,Necesitan atención
12770,211,2,3246.45,2,2,5,225,9,Otros
12771,486,1,282.3,1,1,1,111,3,Necesitan atención
12772,60,1,892.47,3,1,3,313,7,Necesitan atención
12773,564,1,124.25,1,1,1,111,3,Necesitan atención
12774,536,1,98.7,1,1,1,111,3,Necesitan atención
12775,17,7,1686.1200000000001,5,4,4,544,13,Campeones
12776,668,1,55.5,1,1,1,111,3,Necesitan atención
12777,458,1,519.45,1,1,2,112,4,Necesitan atención
12778,20,9,1775.68,4,5,4,454,13,Campeones
12779,38,14,6722.2699999999995,4,5,5,455,14,Campeones
12780,599,1,337.4,1,1,2,112,4,Necesitan atención
12781,64,2,826.74,3,2,3,323,8,Necesitan atención
12782,5,11,4618.24,5,5,5,555,15,Campeones
12783,2,4,1603.87,5,3,4,534,12,Otros
12784,9,3,1804.75,5,3,4,534,12,Otros
12785,364,3,1100.4,2,3,3,233,8,En riesgo
12786,610,1,728.5,1,1,3,113,5,Necesitan atención
12787,10,4,862.1800000000001,5,3,3,533,11,Otros
12788,463,4,444.90000000000003,1,3,2,132,6,Necesitan atención
12789,65,3,273.35,3,3,1,331,7,Necesitan atención
12790,192,2,591.85,2,2,2,222,6,Necesitan atención
12791,374,6,1056.1100000000001,2,4,3,243,9,En riesgo
12792,257,2,827.01,2,2,3,223,7,Necesitan atención
12793,335,3,1017.33,2,3,3,233,8,En riesgo
12794,53,2,860.41,4,2,3,423,9,Potenciales leales
12795,19,1,430.48,5,1,2,512,8,Potenciales leales
12796,628,1,381.0,1,1,2,112,4,Necesitan atención
12797,366,2,806.11,2,2,3,223,7,Necesitan atención
12798,171,2,2518.85,3,2,4,324,9,Otros
12799,529,1,219.35,1,1,1,111,3,Necesitan atención
12800,470,3,584.25,1,3,2,132,6,Necesitan atención
12801,501,1,1071.82,1,1,3,113,5,Necesitan atención
12802,187,7,2416.42,3,4,4,344,11,Leales
12803,393,1,1092.81,2,1,3,213,6,Necesitan atención
12804,466,2,327.02,1,2,2,122,5,Necesitan atención
12805,382,4,1434.95,2,3,4,234,9,En riesgo
12806,435,4,2059.7200000000003,1,3,4,134,8,En riesgo
12807,383,1,330.35,2,1,2,212,5,Necesitan atención
12808,37,5,906.1,4,4,3,443,11,Leales
12809,178,3,1755.94,3,3,4,334,10,Otros
12810,535,2,534.99,1,2,2,122,5,Necesitan atención
12811,261,5,1033.9,2,4,3,243,9,En riesgo
12812,45,1,229.64000000000001,4,1,1,411,6,Potenciales leales
12813,502,3,1687.8,1,3,4,134,8,En riesgo
12814,102,1,125.92,3,1,1,311,5,Necesitan atención
12815,148,2,1063.46,3,2,3,323,8,Necesitan atención
12816,96,2,572.2,3,2,2,322,7,Necesitan atención
12817,281,3,690.98,2,3,3,233,8,En riesgo
12818,262,1,1542.08,2,1,4,214,7,Otros
12819,458,1,540.52,1,1,2,112,4,Necesitan atención
12820,3,11,2689.52,5,5,4,554,14,Campeones
12821,214,2,220.8,2,2,1,221,5,Necesitan atención
12822,71,2,948.88,3,2,3,323,8,Necesitan atención
12823,75,18,6501.5,3,5,5,355,13,Leales
12824,60,1,397.12,3,1,2,312,6,Necesitan atención
12825,521,2,518.63,1,2,2,122,5,Necesitan atención
12826,3,12,2955.75,5,5,5,555,15,Campeones
12827,6,3,430.15,5,3,2,532,10,Otros
12828,3,6,1018.71,5,4,3,543,12,Leales
12829,337,3,385.3,2,3,2,232,7,Necesitan atención
12830,38,5,4536.5599999999995,4,4,5,445,13,Campeones
12831,262,3,451.11,2,3,2,232,7,Necesitan atención
12832,32,2,383.03000000000003,4,2,2,422,8,Potenciales leales
12833,145,1,417.38,3,1,2,312,6,Necesitan atención
12834,283,1,312.38,2,1,2,212,5,Necesitan atención
12835,428,41,6043.31,1,5,5,155,11,En riesgo
12836,59,15,6585.62,4,5,5,455,14,Campeones
12837,173,2,688.41,3,2,3,323,8,Necesitan atención
12838,34,10,3398.48,4,5,5,455,14,Campeones
12839,3,26,10071.73,5,5,5,555,15,Campeones
12840,144,7,4041.9700000000003,3,4,5,345,12,Leales
12841,5,40,7540.68,5,5,5,555,15,Campeones
